bib,title,note_num,note,type
3668927,[Lectures on surgery].,1,"Binder's title; though lettered Volume 1, 1829, contents are complete.",o
3668927,[Lectures on surgery].,2,"The manuscript, written in ink on paper and bound in cloth with quarter leather, is not in Brodie's hand and does not correspond with his printed ""Lectures"" [1846 or 1852] or with his ""Works"" [1865]. It was purchased by Yale Med from Walford catalog 41 in April, 1962.",o
3668927,[Lectures on surgery].,3,Watermarked 1828.,o
3668927,[Lectures on surgery].,4,"The lectures (39 in number, with Introduction and Index) were delivered to students in London during 1829. They concern surgery and kindred subject matter.",w
3668932,Surgery and diary / Sewall Brown's.,1,Cover title.,a
3668932,Surgery and diary / Sewall Brown's.,2,"Manuscript, written in brown ink on paper, was sent by Richard Wheatland to John Fulton in February, 1933. Dr. Fulton later donated it to the Yale Medical Historical Library. Entries include medical and accounting data.",o
3668983,"Partielle Differentialgleichungen; Anwendungen der Abel'schen Functionen; Infinitesimalgeometrie; Bestimmte Integration / [vorgetragen von Prof. Christoffel], 1885-1886.",1,Lecture notes taken by Lehmann during four mathematics classes taught by Professor Christoffel at Strassburg during the 1885-1886 school session.,w
3669045,"Report of the Committee concerning the Hemlock Gum agreeable to the following vote of the Strafford District of the New Hampshire Medical Society : read before the Stafford District of the New Hampshire Medical Society,  Feb'y.11, 1818.",1,Caption title.,a
3669045,"Report of the Committee concerning the Hemlock Gum agreeable to the following vote of the Strafford District of the New Hampshire Medical Society : read before the Stafford District of the New Hampshire Medical Society,  Feb'y.11, 1818.",2,"Report, written Jan. 10, 1818 in ink on paper, acquired by Dr. Cushing in 1935; source not specified.",o
3669062,"Robert Duer's receipt book, 10th of July, 1812 : book 10.",1,"Likely Duer's pharmacy/materia medica class notes, as he graduated from the University of Pennsylvania in 1814.",w
3669062,"Robert Duer's receipt book, 10th of July, 1812 : book 10.",2,"Manuscript, written in brown ink on paper, was purchased by Yale Med in May, 1950 from Whitlock (book seller of New Haven, Conn.). Title from material written inside front cover.",o
3669062,"Robert Duer's receipt book, 10th of July, 1812 : book 10.",3,"Inside front cover: ""Robert Duer's Book the 10th of July 1812"" ; inside back cover: ""Robert Duer's book 1813.""",o
3669075,Daybook.,1,"Manuscript, written in black ink on lined paper, was purchased by Yale Med from Everett Hale Whitlock in November, 1943.",o
3669075,Daybook.,2,Binder's title.,a
3669791,Ḥāshiyat Tahdhīb Jānqarī. -- [17--?].,1,Mach gives title as: Ḥāshiyah ʻalá Ḥāshiyat Mīr Abī al-Fatḥ.,w
3669791,Ḥāshiyat Tahdhīb Jānqarī. -- [17--?].,2,"Islamic binding, paper-covered, with flap.",o
3669791,Ḥāshiyat Tahdhīb Jānqarī. -- [17--?].,3,Occasional glosses.,o
3669929,Kifāyat al-ghulām fī iʻrāb al-kalām. -- [15--?].,1,Also known as: al-Alfīyah.,w
3669929,Kifāyat al-ghulām fī iʻrāb al-kalām. -- [15--?].,2,"Islamic binding, paper-covered, with flap.",o
3669929,Kifāyat al-ghulām fī iʻrāb al-kalām. -- [15--?].,3,With: 1 other title.,o
3670378,Excerpta ex diariis : mélanges de médecine et de chirurgie.,1,Entries are dated 1838-1843 and include an index on the final 23 pages.,w
3670378,Excerpta ex diariis : mélanges de médecine et de chirurgie.,2,"Manuscript, written in black ink on pale blue paper and bound in contemporary boards by a Russian(?) physician, is chiefly in Latin but includes some French and German.",ow
3670378,Excerpta ex diariis : mélanges de médecine et de chirurgie.,3,Purchased by Yale Medical Library from Thiebaud (Paris book seller) catalog 85 in 1963.,o
3670397,[Manuscrits d'un chirurgien russe ou tchèque].,1,"Manuscript, written in ink and bound into seven volumes with decorative full cloth boards, was purchased by Yale Med from Thiébaud (Paris book dealer) in December, 1963. Dealer unable to identify the author; but his extensive descriptive commentary is pasted onto inside of back cover of volume one.",o
3670397,[Manuscrits d'un chirurgien russe ou tchèque].,2,"Manuscript of a Russian or Czech surgeon on various subjects, with some entries dated from 1833 to 1842.",w
3670439,"Physiology : lectures on the physical conditions of the tissues of the human body as applied to the explanation of vital phenomena : delivered at the College of France, 1834 / by F. Magendie, Professor of Physiology and Medicine, 1834.",1,"Notes taken down by Robert Sewell, with the 7 p. at end titled ""Index.""",w
3670439,"Physiology : lectures on the physical conditions of the tissues of the human body as applied to the explanation of vital phenomena : delivered at the College of France, 1834 / by F. Magendie, Professor of Physiology and Medicine, 1834.",2,"Manuscript, neatly written in English and bound in quarter leather, includes 24 lectures; it was purchased by Yale Med in 1958.",o
3670491,Sharḥ al-ʻArūḍ al-Andalusī. -- 1728.,1,Variant title in manuscript: Sharḥ mushkilāt al-mukhtaṣar fī ʻilm al-ʻarūḍ.,w
3670491,Sharḥ al-ʻArūḍ al-Andalusī. -- 1728.,2,"Islamic binding, in brown, with flap.",o
3670491,Sharḥ al-ʻArūḍ al-Andalusī. -- 1728.,3,"Followed by 3 pages (25 verso-26), untitled and ending abruptly, unrelated to primary text.",w
3670491,Sharḥ al-ʻArūḍ al-Andalusī. -- 1728.,4,With: 6 other titles.,o
3670518,"Receipes for takeing of cemicals, 1850.",1,Caption title.,a
3670518,"Receipes for takeing of cemicals, 1850.",2,"Page 3 has small label pasted on, reading: ""Salts of gold, Meade Brothers, Importers, No. 233 Broadway, N.Y."" The brothers established that location in 1850, hence the dating of the document.",o
3670518,"Receipes for takeing of cemicals, 1850.",3,Recipes for mixing chemicals.,w
3670518,"Receipes for takeing of cemicals, 1850.",4,"The name D. F. [or G.?] Kellogs, Utica, New York, is inscribed within.",o
3670518,"Receipes for takeing of cemicals, 1850.",5,"Manuscript, written in ink on first five pages of a 32 page booklet (remainder is blank), includes bookplate of Yale University Library dated 1942.",o
3670544,"Note-book of experiments and observations on anatomy and physiology / George Gulliver, January 1839.",1,"Manuscript notebook bound in quarter leather, written in black ink on unlined paper, kept by Gulliver over a period of years, the last one seeming to be 1874; titled from author's inscription inside front cover.",ao
3670544,"Note-book of experiments and observations on anatomy and physiology / George Gulliver, January 1839.",2,"Some pages are blank, some have extra leaves inserted; there is an index on the final page.",ow
3670544,"Note-book of experiments and observations on anatomy and physiology / George Gulliver, January 1839.",3,"Inserted are several letters addressed to the author from John Davy and one from Thomas Hodgkin; also an ""Obituary notice"" of Gulliver written in his own hand.",o
3670544,"Note-book of experiments and observations on anatomy and physiology / George Gulliver, January 1839.",4,Includes much of his original research on the blood.,w
3670618,al-Durr al-manẓūm. -- 1731 or 2.,1,Variant title in manuscript: Naẓm farāʾiḍ Multaqá al-abḥur.,w
3670618,al-Durr al-manẓūm. -- 1731 or 2.,2,"Islamic binding, in brown, with flap.",o
3670618,al-Durr al-manẓūm. -- 1731 or 2.,3,With: 6 other titles.,o
3670642,[Kitāb fī al-farāʾiḍ]. -- 1828 or 9.,1,"Islamic binding, in brown, with flap.",o
3670642,[Kitāb fī al-farāʾiḍ]. -- 1828 or 9.,2,Followed by an untitled 2-page treatise on same subject; ends abruptly.,w
3670642,[Kitāb fī al-farāʾiḍ]. -- 1828 or 9.,3,Last 3 leaves comprised of notes.,w
3670642,[Kitāb fī al-farāʾiḍ]. -- 1828 or 9.,4,With: 6 other titles.,o
3670725,al-ʻArūḍ al-Andalusī. -- [17--].,1,"Islamic binding, in brown, with flap.",o
3670725,al-ʻArūḍ al-Andalusī. -- [17--].,2,A few pages of notes precede and follow main text.,w
3670725,al-ʻArūḍ al-Andalusī. -- [17--].,3,With: 6 other titles.,o
3670732,"Ye Sette of Odd Volumes : ""Idler"" collection : typescript.",1,Looseleaf.,o
3670732,"Ye Sette of Odd Volumes : ""Idler"" collection : typescript.",2,Title from first page.,a
3670810,"Book of accounts, 1793-1803.",1,Caption title; the 22 p. at end contain the doctor's handwritten comments on some patients tended during 1793-95.,aw
3670810,"Book of accounts, 1793-1803.",2,"Photocopy by Thomas G. Falco (then assistant historical librarian, Yale medical historical library) at New Haven, Conn., 1974; from original owned by Beekman C. Cannon, Master of Yale's Jonathan Edwards College. Yale med copy is 21 leaves, and 28 cm.",o
3670810,"Book of accounts, 1793-1803.",3,Each photocopied leaf has 2 pages of text.,o
3670835,"Excelsior diary : Columbian edition, 1893 / [signed in ink on title page: Geo. W. Vansint].",1,"Diary includes a blank page for each date, printed almanac and calendar, and pages for accounts.",w
3670835,"Excelsior diary : Columbian edition, 1893 / [signed in ink on title page: Geo. W. Vansint].",2,"Although this is obviously a physician's book, detailing his practice in New York City, I can find no listing of Vansint in Polk's, AMA, NUC, New York Acad., or Worldcat directories.",aw
3670835,"Excelsior diary : Columbian edition, 1893 / [signed in ink on title page: Geo. W. Vansint].",3,"Manuscript, written in ink on lined paper, is notebook, diary, and account book; it was donated to Yale Med by Charles Anchie in November, 1966.",ow
3670836,"Account book, 1862-1870.",1,"Includes patient information concerning the doctor's practice in New Haven, Conn.",w
